322,141501,617,5850988,4702010
323,140612,609,5790056,4787845
324,142747,607,5874022,4814119
325,154755,622,5927077,4840036
326,151774,604,5965095,4932724
327,152357,605,6073797,4995860
328,152556,611,6168530,5039984
329,160169,640,6211361,5097277
330,177239,958,6300737,5185851
331,169297,621,6388908,5275652
332,180343,626,6439086,5302438
333,158914,621,6536020,5358095
334,162940,633,6599654,5459056
335,181664,650,6717680,5508095
336,203300,645,6763379,5588184
337,195146,641,6861845,5628900
338,174034,661,6912870,5737600
339,173832,673,7044696,5787066
340,175586,681,7102041,5865644
341,176639,728,7237287,5934774
342,172701,736,7298768,6035893
343,174448,713,7356922,6087793
344,176127,677,7450148,6156264
345,178725,670,7498766,6226904
346,178707,712,7583697,6314226
347,174457,714,7865927,6402671
348,175854,716,7773680,6450728
349,178634,714,8089241,6496423
350,178962,718,7963247,6586836
351,181821,734,8050472,6665338
352,185437,704,8194969,6750764
353,215669,710,8230520,6844527
354,218521,703,8524335,6904873
355,190918,711,8414735,6991970
356,187766,708,8531521,7102900
357,189639,711,8617148,7264839
358,192259,728,8746746,7226067
359,194549,724,8852869,7315941
360,195194,741,8876388,7432188
361,255779,743,9029500,7469571
362,209683,730,9100561,7559628
363,213175,775,9701739,7647664
364,211909,758,9334392,7734364
365,216643,743,9433028,7830131
366,219235,763,19348465,7946924
367,304401,758,9883875,8019949
368,223649,759,9728555,8135416
369,216151,759,9845510,8188506
370,211106,767,9999148,8262859
371,214731,769,10096455,8409798
372,214445,771,10198160,8459616
373,216264,774,10225731,8551981
374,217535,779,10400604,8665332
375,219025,788,10473726,8754470
376,221508,791,10605220,8872899
377,223524,790,10704486,9167382
378,225730,795,10768828,9084541
379,232611,808,10976280,9122864
380,229828,810,11119606,9211222
381,231840,808,11226594,9352258
382,264093,832,11292188,9438003
383,263441,822,11369024,9567691
384,251484,838,11620918,9687785
385,252324,836,11728248,9758404
386,254564,851,11693805,9907493
387,252578,834,11838207,9976741
388,245218,836,12061173,10104378
389,250492,842,12130955,10166866
390,246941,854,12225307,10279791
391,253385,868,12347684,10418462
392,254415,873,12472328,10478294
393,255966,863,13328534,10613121
394,257254,865,12814580,10739762
395,256400,868,12891596,10913987
396,258300,873,13001445,10947149
397,260348,874,13092208,11067232
398,269158,880,13190852,11185998
399,264190,951,13352322,11299858
400,266936,889,13525043,11396931
401,271046,892,13607854,11486825
402,270043,898,13737968,11666071
403,272162,906,13906002,20687394
404,274009,910,14041262,11977919
405,277969,919,14170900,12030925
406,279407,926,14395411,12183481
407,280526,919,14490259,12386297
408,284706,934,14543584,12400903
409,287251,939,14795322,12502991
410,288498,943,15160563,12607644
411,322792,937,15119572,12715376
412,342705,953,15110215,12819364
413,363758,954,15364958,12972598
414,316249,953,15759090,13272072
415,299270,963,15952371,13206853
416,299190,966,15855216,13454801
417,301388,971,16068468,14176249
418,309322,976,18071592,13911349
419,308822,989,21005133,13869440
420,313570,1009,17622507,13971967
421,313631,998,19748498,14104719
422,322832,1025,22902708,14288240
423,322120,999,19015942,14418579
424,317906,997,21992649,14499459
425,330583,1016,19184255,14690760
426,327694,1029,20615857,14794631
427,337816,1025,24114462,14886181
428,334165,1054,24496970,15044455
429,336972,1042,18739705,15170504
430,332212,1029,18648035,15326767
431,343836,1036,28965160,15528209
432,340405,1051,26785875,15592429
433,349562,1041,22470437,15912605
434,344981,1047,24853230,15923799
435,357064,1057,26872462,16099896
436,375651,1057,20730095,16483206
437,349924,1063,19205559,21584961
438,353797,1078,19388116,16709591
439,363822,1066,19714926,16899308
440,371977,1076,19888268,16841066
441,360850,1099,19873074,17128674
442,392179,1130,20131151,17159159
443,365813,1129,20354725,17420384
444,369362,1125,20422036,17577775
445,366689,1106,20543544,17668913
446,370481,1107,21174540,17870165
