NUM VERTICES,SMLVO, SMODL, welshpowell,largestoriginaldegreelast, largestlast, uniformrandom
215,0.0662563,0.0339535,0.0411176,0.0335438,0.0660633,0.033486
216,0.0677575,0.0344735,0.0413139,0.0337454,0.0682702,0.0336982
217,0.0703645,0.0346505,0.0420298,0.0344491,0.0676039,0.034377
218,0.0681909,0.0352786,0.0423058,0.0346768,0.0687863,0.0344432
219,0.0736329,0.035343,0.04321,0.0354575,0.0693622,0.0351465
220,0.0699774,0.0363062,0.0434539,0.035447,0.0703338,0.0353051
221,0.072181,0.0362481,0.0438707,0.0361139,0.0709784,0.0360623
222,0.0720727,0.0370707,0.0445371,0.0364096,0.0725357,0.0362486
223,0.0733053,0.0371473,0.0450246,0.0370032,0.0734275,0.0368347
224,0.0738318,0.0377067,0.0455046,0.0371028,0.0738443,0.0370561
225,0.0754597,0.0382234,0.0461963,0.0380122,0.0746296,0.0379636
226,0.0752145,0.0387023,0.0464719,0.0381478,0.0755114,0.037954
227,0.0770747,0.03909,0.0473681,0.0388344,0.0764005,0.0386123
228,0.0773132,0.0398411,0.0475489,0.0390689,0.077827,0.0390352
229,0.079215,0.0398578,0.048152,0.0396768,0.0779846,0.0394344
230,0.0797293,0.0404447,0.0486694,0.0400315,0.0800743,0.0397162
231,0.0810592,0.0409666,0.0493647,0.0406264,0.0809931,0.0402557
232,0.0812483,0.0415297,0.0499265,0.0410072,0.0818429,0.0408261
233,0.0825265,0.0418571,0.0505347,0.0414522,0.082721,0.0412861
234,0.0833546,0.0424014,0.050998,0.0420369,0.0841234,0.0419515
235,0.0844457,0.042894,0.0516002,0.0452234,0.0847341,0.0421447
236,0.0857545,0.0433887,0.0523313,0.0430739,0.0872197,0.0427005
237,0.0862725,0.0439308,0.0529475,0.0435322,0.0865839,0.043209
238,0.0871323,0.0445813,0.0534402,0.044178,0.0881151,0.0437928
239,0.0893051,0.0450058,0.0540937,0.0446496,0.0886059,0.0443825
240,0.0899338,0.0456213,0.0549682,0.045119,0.0897988,0.0450379
241,0.0908632,0.0460117,0.0553443,0.0456155,0.090722,0.0454226
242,0.0916365,0.046492,0.0558594,0.0460156,0.0908216,0.0458065
243,0.092691,0.0468319,0.0564341,0.0464587,0.0922873,0.0462127
244,0.0939386,0.0475584,0.0571771,0.0470458,0.0944009,0.0470649
245,0.0954422,0.0485039,0.0578849,0.0479531,0.0944597,0.0474278
246,0.0965238,0.0511602,0.058453,0.0482684,0.0969555,0.0479087
247,0.0970674,0.0492126,0.059109,0.0488972,0.0976796,0.0486938
248,0.0987272,0.0498055,0.0596148,0.0494086,0.0982885,0.0489555
249,0.0993699,0.0502949,0.060436,0.0499568,0.0986624,0.0497782
250,0.100137,0.0507592,0.0608599,0.0503275,0.100559,0.0500892
251,0.101147,0.0515512,0.0615722,0.051192,0.101108,0.0506
252,0.102748,0.0520647,0.0626101,0.0516235,0.10256,0.0515103
253,0.104458,0.0526439,0.06311,0.0523838,0.103567,0.0518699
254,0.104197,0.0533627,0.0638658,0.0529521,0.105024,0.0525865
255,0.107014,0.0538218,0.0642434,0.0533879,0.106322,0.0531355
256,0.106868,0.0545121,0.0651235,0.0540011,0.108087,0.0540264
257,0.108149,0.0552017,0.0660047,0.0550235,0.109128,0.0544308
258,0.120624,0.0586097,0.0694186,0.0582497,0.11658,0.057826
259,0.123366,0.0607193,0.0717935,0.0600545,0.12113,0.0597507
260,0.125275,0.0625187,0.0737413,0.0619897,0.133681,0.0618208
261,0.127603,0.063395,0.0748772,0.062979,0.128233,0.063048
262,0.131327,0.0646451,0.0758752,0.0642821,0.130295,0.0642456
263,0.133526,0.0659667,0.0770331,0.0653759,0.134074,0.0650607
264,0.132969,0.0669508,0.0779702,0.0664572,0.136221,0.0657545
265,0.137759,0.0676626,0.0792231,0.067386,0.141534,0.0670193
266,0.136431,0.0684967,0.079954,0.0680483,0.138069,0.0674117
267,0.141591,0.0693535,0.0810071,0.0688709,0.139397,0.068733
268,0.138406,0.0702172,0.0814271,0.0694793,0.139905,0.0694948
269,0.146233,0.0707383,0.0827664,0.0702262,0.142247,0.0698133
270,0.151074,0.0715011,0.0836353,0.0710525,0.144228,0.070733
271,0.143651,0.0726316,0.0845908,0.0720008,0.148105,0.0714878
272,0.153573,0.0734678,0.0853994,0.072901,0.151213,0.0725536
273,0.152369,0.0741043,0.0863867,0.0734569,0.153443,0.0733935
274,0.155625,0.0748907,0.0868963,0.0745439,0.151033,0.074361
275,0.157599,0.0755535,0.087475,0.0749745,0.154477,0.0750484
276,0.158834,0.076482,0.0888586,0.0760754,0.153286,0.0757472
